Transaction Hash,Date,Quarter,From,To,Category,Amount,Asset,Value
0x2f97186137c4312194332e555eb69250f97308a0bf2283e97013713c30d7379e,2022-04-20,2022Q2,Community WG,coltron.eth,Salaries,1100.0,USDC,1100.0
0xf47ce69ab00a1e93449edd3f52f4cfa20be8a5f4345252643b79a3d2b4f6b38c,2022-04-20,2022Q2,Community WG,coltron.eth,Salaries,200.0,USDC,200.0
0x03213596384ac90e7a8744b4163ae8a4f2e86df8283ebedb33ca942b6e352309,2022-04-20,2022Q2,Community WG,Discretionary,Discretionary,1200.0,USDC,1200.0
0x16b022d6ca3b6542fd6ea18d8bb0cee1970a0039d5ec92a00e971bfe4569c640,2022-04-20,2022Q2,Community WG,taytems.eth,Discretionary,150.0,USDC,150.0
0xb25b7b3e103a6b47cfca2bd5dbfe4ed9a23d0155aedd74f2966f563020266dae,2022-04-20,2022Q2,Community WG,limes.eth,IRL,200.0,USDC,200.0
0x917ab2025e128046b5667e4eb4ac523de1a74fc3ccc94de50f31e2ccf9b8ca78,2022-04-20,2022Q2,Community WG,vegayp.eth,Onboarding,360.0,USDC,360.0
0x44e792d2af514676c2b84ec6287c818b58aa9471b9516119ed7df5992fd2fb34,2022-04-20,2022Q2,Community WG,zadok7.eth,Docs,1500.0,USDC,1500.0
0x91fc6264119014e3a1333310818cf0e145fd73b119cb12c7dda76bfb692b5cc7,2022-04-20,2022Q2,Community WG,estmcmxci.eth,Hispanohablantes,2000.0,USDC,2000.0
0x29869ccc64280a7d29fe5f8980bc2234e71aab3553dbd5590a4942db3ffe6896,2022-04-21,2022Q2,Community WG,coltron.eth,Salaries,110.306907,USDC,110.306907
0x2dad9b5b069672ce5b1debd2bb26e540bd8e0781967a35cb35b60134a33a507a,2022-04-21,2022Q2,Community WG,coltron.eth,IRL,5000.0,USDC,5000.0
0x932fce2170dc243817bec485fffd79bd2d5fa1352e204edee954cc44119c68d4,2022-04-22,2022Q2,DAO Wallet,Airdrop,Airdrop,253.7967279169613,ENS,3613.9
0x99e271b214741d985ed46a8d4a0c0e08bd7666c0772a8f51e23984e70f2b131d,2022-04-22,2022Q2,DAO Wallet,Airdrop,Airdrop,22.796341045108917,ENS,324.6
0x67d5c142777193f6a01098746f2889dd27e1f62f658da2bd5d5739f64901b0af,2022-04-26,2022Q2,DAO Wallet,Airdrop,Airdrop,218.30950888073144,ENS,3125.1
0x9bfb35705a25b4b03ad065dc936bc01f5da3da955f40ec6797eae5fb3db9a6ee,2022-04-26,2022Q2,DAO Wallet,Airdrop,Airdrop,121.27972614801216,ENS,1736.12
0x922d0ac2fa1d1788209445b71f849512cd1eccb42dce8d5c6d4567601e922ea6,2022-04-26,2022Q2,Ecosystem,0x20ca5e,Bug Bounty,15000.0,USDC,15000.0
0x9fc2812533dcd1cbf81f3fdf00eb3ec5f391ad183823831b1cf25bd0566fb65a,2022-04-26,2022Q2,Ecosystem,ETHLimo,Eco. Grants,4000.0,USDC,4000.0
0x7021bcee453664bcae2a8a2d56c184674cd27d1c85da13a73d7012bb075b664d,2022-04-26,2022Q2,Ecosystem,esteroids.eth,Websites,100.0,ENS,1431.5
0xe0081485f9ee1b75ea0c44279e1a63482a85ddfc8d26320f05ac3b31bbe518b2,2022-04-26,2022Q2,Ecosystem,simple.eth,Websites,100.0,ENS,1431.5
0x1b7f8a91c8c35a26bf28c02ab34015d11430b4ef5dda72759fd6efa878f1535d,2022-04-27,2022Q2,DAO Wallet,Airdrop,Airdrop,121.4294391602336,ENS,2259.09
0x368babd16c759f3e9f893c90e05688770d21e46edda48a822716aad745a7966b,2022-04-27,2022Q2,DAO Wallet,Airdrop,Airdrop,60.3822346962832,ENS,1123.36
0x46e6f2fbd611713132ac1062c0aa4dcac4b5f848f73776e6e0c4dc870a085519,2022-04-27,2022Q2,DAO Wallet,Airdrop,Airdrop,54.89040838560518,ENS,1021.19
0xe7dc14907198f541a3eed796b003e3ceea26003c38051bc2969ce99f4412f068,2022-04-27,2022Q2,DAO Wallet,Airdrop,Airdrop,40.515779147122814,ENS,753.76
0x7283859bd1aee067b0dd8180247fb7b363c7f6bc6bb6754bce82040537d081dc,2022-04-27,2022Q2,DAO Wallet,Airdrop,Airdrop,19.670093631631932,ENS,365.95
0x8497c6be23727f04a8a253f05df700e7068f184d007cf2df937ba3fd8e651d35,2022-04-28,2022Q2,DAO Wallet,Airdrop,Airdrop,262.1911332284385,ENS,4928.51
0x0df5af6d3c2d4eedf2a72043dadd63b91d47c7024c7982b0db9b1f8e1b2bf3a8,2022-04-28,2022Q2,DAO Wallet,Airdrop,Airdrop,206.44820867620643,ENS,3880.69
0x33d15fb656e3dfd0b12a8e3ef547fd79ee14017d88566e2a45afe0f97df85d51,2022-04-28,2022Q2,DAO Wallet,Airdrop,Airdrop,138.60549605474588,ENS,2605.42
0x8efd6acefb68552d875e89fb2ae8030cf8396dd7345a8e968c330d1c0178a58f,2022-04-28,2022Q2,DAO Wallet,Airdrop,Airdrop,99.88536640351121,ENS,1877.58
0x29d35dee93f86e6cc78ddf9769177d4cd9c52d79fd8ef6282bbbbae0a6c1cd32,2022-04-28,2022Q2,DAO Wallet,Airdrop,Airdrop,71.52458700386744,ENS,1344.48
0xfac1f32b23eeaead4f7680f8a51b055b096620d5181b7d5f94e6dcb59df8d548,2022-04-28,2022Q2,DAO Wallet,Airdrop,Airdrop,9.609525935664898,ENS,180.63
0xd055e27e4a8981df1461628b6b05947d9a899bfb5c7d665cefb80d8343c8edd5,2022-04-29,2022Q2,DAO Wallet,Airdrop,Airdrop,261.60390698217884,ENS,4261.28
0xeeba70f0b5b829871e469faed0dc06a4168e1f24a49a4b5508d98ddbb8b9a9c1,2022-04-29,2022Q2,DAO Wallet,Airdrop,Airdrop,238.1916177124362,ENS,3879.92
0xd7aa720eabcd3d14b32c4fa6c3f7fc61a0231452df8eca132ee2bb2abfd9778b,2022-04-29,2022Q2,DAO Wallet,Airdrop,Airdrop,154.8794924532665,ENS,2522.84
0xfd1c67d10027b1fa007ecec7a2a2d0b2e8ed7124b2f886acae1ab75768ad6ef0,2022-04-30,2022Q2,DAO Wallet,Airdrop,Airdrop,447.74091840173816,ENS,9283.92
0x9b822de6eabf9fe5884abd6aa8bff884a572fec21fddb91790f0461b37e5a66d,2022-04-30,2022Q2,Community WG,coltron.eth,Salaries,2000.0,USDC,2000.0
0x9b822de6eabf9fe5884abd6aa8bff884a572fec21fddb91790f0461b37e5a66d,2022-04-30,2022Q2,Community WG,spencecoin.eth,Salaries,1000.0,USDC,1000.0
0x9b822de6eabf9fe5884abd6aa8bff884a572fec21fddb91790f0461b37e5a66d,2022-04-30,2022Q2,Community WG,limes.eth,Salaries,1000.0,USDC,1000.0
0x16733c6858e2fefe7651543b809c6ec1481750e36263e2105d4e3854e75b113a,2022-04-30,2022Q2,Community WG,daylon.eth,Communications,400.0,USDC,400.0
0x16733c6858e2fefe7651543b809c6ec1481750e36263e2105d4e3854e75b113a,2022-04-30,2022Q2,Community WG,daylon.eth,Communications,2.0,ENS,41.47
0x66882b9f109ca351557690c641f1d961087930eaeea57c55381d4bd428a4ae74,2022-05-01,2022Q2,DAO Wallet,Airdrop,Airdrop,182.1841753677681,ENS,4461.86
0x4d9e43d6c7a5e899fd22064193201fd822c7942e3a2d13b9e43c891b05251922,2022-05-01,2022Q2,DAO Wallet,Airdrop,Airdrop,24.023349978166134,ENS,588.35
0xd59486c14605163d0cc931135281a475d5a01e44382f3c85204dffd8dd4251f1,2022-05-01,2022Q2,Community WG,vegayp.eth,Onboarding,1295.0,USDC,1295.0
0x01d2553711177bd926d43263b6eaf40bbd34e7497a6d65f263f2a1c000857844,2022-05-02,2022Q2,DAO Wallet,Airdrop,Airdrop,96.04138971446582,ENS,2503.6
0x311b583701643944a8ef6917f1f5baf12d318808f78c6aa8c9f8ea5235120758,2022-05-02,2022Q2,DAO Wallet,Airdrop,Airdrop,61.17984639236155,ENS,1594.83
0xe27e4d22113cf82bd0dd34f671e4dfdc1d3f2867954ce7377d0ed7417ee93e86,2022-05-03,2022Q2,DAO Wallet,Airdrop,Airdrop,258.4057827001126,ENS,5673.95
